,LotArea,Neighborhood,HouseStyle,RoofStyle,Foundation,CentralAir,YrSold,LandContour,Utilities,Condition1,Fireplaces,SaleType,KitchenQual,OverallQual,Heating,OpenPorchSF,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,FullBath,1stFlrSF,SalePrice
87,3951,Somerst,2Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,0,New,Gd,6,GasA,234,Detchd,RFn,2,528,TA,2,612,164500
88,8470,IDOTRR,1.5Fin,Hip,CBlock,N,2009,Lvl,AllPub,Feedr,0,ConLD,Fa,3,GasA,0,,,0,0,,1,1013,85000
89,8070,CollgCr,1Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,0,WD,TA,4,GasA,0,,,0,0,,1,990,123600
90,7200,mes,1Story,Gable,Slab,Y,2006,Lvl,AllPub,Norm,0,WD,TA,4,GasA,29,Detchd,Unf,2,420,TA,1,1040,109900
91,8500,mes,1Story,Hip,CBlock,Y,2006,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Attchd,Unf,2,480,TA,1,1235,98600
92,13360,Crawfor,1Story,Gable,BrkTil,Y,2009,HLS,AllPub,Norm,0,WD,TA,5,GasA,0,Detchd,Unf,2,432,TA,1,964,163500
93,7200,OldTown,2.5Unf,Hip,BrkTil,N,2007,Lvl,AllPub,Norm,1,WD,TA,6,GasW,0,Detchd,Unf,2,506,TA,2,1260,133900
94,9337,CollgCr,2Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,0,WD,Gd,6,GasA,162,Attchd,RFn,2,684,TA,2,905,204750
95,9765,Gilbert,2Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,1,WD,TA,6,GasA,63,BuiltIn,Fin,2,420,TA,2,680,185000
96,10264,CollgCr,1Story,Gable,PConc,Y,2006,Lvl,AllPub,Norm,0,WD,Gd,7,GasA,29,Attchd,RFn,2,472,TA,2,1588,214000
97,10921,Edwards,1Story,Hip,CBlock,Y,2007,HLS,AllPub,Norm,0,WD,TA,4,GasA,0,Attchd,Fin,1,432,TA,1,960,94750
98,10625,Edwards,1Story,Gable,BrkTil,N,2010,Lvl,AllPub,Norm,0,COD,TA,5,GasA,0,Basment,Unf,1,366,Fa,1,835,83000
99,9320,mes,1Story,Gable,CBlock,Y,2010,Lvl,AllPub,Norm,0,WD,TA,4,GasA,0,,,0,0,,1,1225,128950
100,10603,NWAmes,1Story,Gable,PConc,Y,2010,Lvl,AllPub,Norm,2,WD,Gd,6,GasA,68,Attchd,RFn,2,480,TA,2,1610,205000
101,9206,SawyerW,2Story,Gable,CBlock,Y,2010,Lvl,AllPub,Norm,1,WD,Gd,6,GasA,46,Attchd,Fin,2,476,TA,2,977,178000
102,7018,SawyerW,1Story,Gable,Slab,Y,2009,Bnk,AllPub,Norm,0,WD,TA,5,GasA,0,Attchd,Unf,2,410,TA,2,1535,118964
103,10402,CollgCr,1Story,Gable,PConc,Y,2010,Lvl,AllPub,Norm,0,WD,Gd,7,GasA,36,Attchd,RFn,3,740,TA,2,1226,198900
104,7758,IDOTRR,1.5Fin,Gable,PConc,Y,2007,Lvl,AllPub,Norm,2,WD,TA,7,GasA,0,Detchd,Unf,1,240,TA,1,1226,169500
105,9375,Somerst,2Story,Hip,PConc,Y,2008,Lvl,AllPub,Norm,1,WD,Gd,8,GasA,45,Attchd,RFn,2,648,TA,2,1053,250000
106,10800,OldTown,1Story,Mansard,BrkTil,Y,2007,Lvl,AllPub,Norm,0,WD,TA,4,GasA,0,Detchd,Unf,1,273,Fa,1,1047,100000
107,6000,OldTown,1Story,Gable,CBlock,Y,2008,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Detchd,Unf,1,250,TA,1,789,115000
108,8500,IDOTRR,1.5Fin,Gable,CBlock,N,2007,Lvl,AllPub,Artery,0,WD,Fa,5,GasW,0,,,0,0,,2,997,115000
109,11751,NWAmes,1Story,Hip,CBlock,Y,2010,Lvl,AllPub,Norm,1,COD,TA,6,GasA,122,Attchd,RFn,2,546,TA,2,1844,190000
110,9525,Edwards,1.5Fin,Gable,CBlock,Y,2006,Lvl,AllPub,Norm,0,WD,TA,6,GasA,0,Attchd,Unf,1,325,TA,2,1216,136900
111,7750,Gilbert,SLvl,Gable,PConc,Y,2010,Lvl,AllPub,Norm,1,WD,TA,7,GasA,0,BuiltIn,Fin,2,400,TA,2,774,180000
112,9965,CollgCr,2Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,1,New,Ex,7,GasA,184,BuiltIn,Fin,3,792,TA,2,1282,383970
113,21000,Crawfor,1Story,Hip,CBlock,Y,2007,Bnk,AllPub,Norm,2,COD,Gd,6,GasA,120,Basment,Unf,2,450,TA,2,2259,217000
114,7259,Crawfor,2Story,Gambrel,CBlock,Y,2007,Lvl,AllPub,Norm,1,WD,Gd,6,GasA,0,Detchd,Unf,1,180,TA,2,1436,259500
115,3230,Somerst,2Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,1,WD,TA,6,GasA,32,Detchd,Unf,2,440,TA,2,729,176000
116,11616,Sawyer,1Story,Gable,CBlock,Y,2009,Lvl,AllPub,Norm,1,WD,TA,5,GasA,20,Attchd,Unf,1,288,TA,1,1092,139000
117,8536,Edwards,1Story,Gable,PConc,Y,2007,Lvl,AllPub,Norm,0,New,TA,5,GasA,64,Attchd,Unf,2,430,TA,1,1125,155000
118,12376,SawyerW,2Story,Hip,PConc,Y,2010,Lvl,AllPub,Norm,2,WD,Gd,7,GasA,0,Attchd,Unf,3,594,TA,3,1699,320000
119,8461,CollgCr,2Story,Gable,PConc,Y,2006,Lvl,AllPub,Norm,1,New,Gd,6,GasA,24,Attchd,Fin,2,390,TA,2,728,163990
120,21453,ClearCr,SLvl,Flat,CBlock,Y,2006,Low,AllPub,Norm,2,WD,TA,6,GasA,130,Attchd,Unf,2,540,TA,1,988,180000
121,6060,IDOTRR,1.5Fin,Gable,PConc,Y,2007,Lvl,AllPub,Norm,0,WD,TA,4,GasA,0,Detchd,Unf,1,264,TA,1,772,100000
122,9464,mes,1Story,Hip,CBlock,Y,2008,Lvl,AllPub,Norm,0,WD,TA,6,GasA,0,Attchd,Unf,1,288,TA,1,1080,136000
123,7892,SawyerW,1Story,Gable,PConc,Y,2008,Lvl,AllPub,Norm,0,WD,Gd,6,GasA,63,Attchd,RFn,2,530,TA,2,1199,153900
124,17043,NWAmes,1Story,Gable,CBlock,Y,2009,Lvl,AllPub,Norm,1,WD,TA,6,GasA,0,Attchd,Unf,2,435,TA,2,1586,181000
125,6780,IDOTRR,1.5Fin,Gable,CBlock,N,2006,Lvl,AllPub,Norm,0,WD,TA,6,GasA,0,,,0,0,,1,520,84500
126,4928,NPkVill,1Story,Gable,CBlock,Y,2007,Lvl,AllPub,Norm,1,WD,TA,6,GasA,205,Attchd,RFn,2,440,TA,2,958,128000
127,4388,OldTown,1.5Unf,Gable,BrkTil,Y,2007,Bnk,AllPub,Feedr,1,WD,TA,5,GasA,0,,,0,0,,1,840,87000
128,7590,mes,2Story,Gable,CBlock,Y,2006,Lvl,AllPub,PosN,1,WD,TA,6,GasA,108,Attchd,RFn,2,453,TA,1,660,155000
129,8973,mes,1Story,Gable,CBlock,Y,2006,Lvl,AllPub,Norm,0,WD,Ex,5,GasA,80,2Types,RFn,2,750,TA,1,1053,150000
130,14200,mes,2Story,Gable,CBlock,Y,2006,Lvl,AllPub,Norm,2,WD,Gd,7,GasA,66,Attchd,Fin,2,487,TA,2,1216,226000
131,12224,Gilbert,2Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,1,WD,Gd,6,GasA,48,BuiltIn,RFn,2,390,TA,2,1022,244000
132,7388,mes,1Story,Gable,CBlock,Y,2007,Lvl,AllPub,Norm,0,WD,Gd,5,GasA,0,Detchd,Unf,2,624,TA,1,1327,150750
133,6853,Timber,1Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,0,WD,Gd,8,GasA,25,Attchd,Fin,2,471,TA,2,1296,220000
134,10335,Sawyer,1Story,Gable,CBlock,Y,2006,Lvl,AllPub,Norm,1,WD,TA,5,GasA,96,Attchd,RFn,2,440,TA,2,1721,180000
135,10400,NWAmes,1Story,Hip,PConc,Y,2008,Lvl,AllPub,Norm,1,WD,TA,7,GasA,0,Attchd,Unf,2,530,TA,2,1682,174000
136,10355,mes,1Story,Gable,CBlock,Y,2007,Lvl,AllPub,Norm,1,WD,TA,5,GasA,111,Attchd,RFn,1,318,TA,2,1214,143000
137,11070,Mitchel,1Story,Gable,CBlock,Y,2006,Lvl,AllPub,Norm,0,WD,TA,7,GasA,0,2Types,Unf,3,766,TA,3,1959,171000
138,9066,CollgCr,2Story,Gable,PConc,Y,2008,Lvl,AllPub,Norm,2,WD,Gd,8,GasA,106,Attchd,Fin,3,660,TA,2,1004,230000
139,15426,CollgCr,2Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,0,WD,Gd,6,GasA,99,Attchd,RFn,2,470,TA,2,928,231500
140,10500,mes,1Story,Gable,CBlock,Y,2010,Lvl,AllPub,Norm,1,ConLI,TA,4,GasA,0,,,0,0,,1,864,115000
141,11645,CollgCr,1Story,Gable,PConc,Y,2006,Lvl,AllPub,Norm,0,WD,Gd,7,GasA,24,Attchd,Fin,2,660,TA,2,1734,260000
142,8520,mes,1.5Fin,Gable,CBlock,Y,2010,Lvl,AllPub,Artery,0,WD,TA,5,GasA,0,Detchd,Unf,2,720,TA,2,910,166000
143,10335,CollgCr,1Story,Gable,PConc,Y,2009,Lvl,AllPub,Norm,0,WD,Gd,7,GasA,29,Attchd,RFn,2,577,TA,2,1501,204000
144,9100,Sawyer,1Story,Gable,CBlock,Y,2006,Lvl,AllPub,RRAe,0,ConLI,TA,5,GasA,0,Detchd,Unf,2,504,TA,2,1728,125000
145,2522,Edwards,2Story,Gable,PConc,Y,2006,Lvl,AllPub,Norm,0,WD,Gd,6,GasA,40,Detchd,Unf,2,380,TA,2,970,130000
146,6120,BrkSide,1Story,Gable,BrkTil,Y,2009,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Detchd,Unf,1,180,Fa,1,875,105000
147,9505,Gilbert,2Story,Gable,PConc,Y,2010,Lvl,AllPub,Norm,1,WD,Gd,7,GasA,48,BuiltIn,Fin,2,434,TA,2,884,222500
148,7500,SawyerW,1Story,Gable,PConc,Y,2008,Lvl,AllPub,Norm,0,WD,Gd,7,GasA,0,,,0,0,,1,1080,141000
149,6240,BrkSide,1.5Fin,Gable,BrkTil,Y,2006,Lvl,AllPub,Norm,0,WD,TA,5,GasA,114,Detchd,Unf,1,240,Fa,1,896,115000
150,10356,CollgCr,1Story,Gable,CBlock,Y,2007,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Attchd,Unf,2,440,TA,1,969,122000
151,13891,NridgHt,1Story,Hip,PConc,Y,2008,Lvl,AllPub,Norm,1,New,Gd,8,GasA,102,Attchd,RFn,3,866,TA,2,1710,372402
152,14803,NWAmes,2Story,Gable,CBlock,Y,2006,Lvl,AllPub,Norm,1,WD,TA,6,GasA,66,Attchd,RFn,2,495,TA,2,1097,190000
153,13500,ClearCr,1Story,Flat,CBlock,Y,2008,Lvl,AllPub,Norm,1,WD,TA,6,GasA,0,Attchd,RFn,2,564,TA,1,1252,235000
154,11340,OldTown,1Story,Gable,BrkTil,Y,2006,Lvl,AllPub,Norm,0,WD,TA,6,GasA,0,Detchd,Unf,1,312,Fa,1,1200,125000
155,9600,Edwards,1.5Fin,Gable,BrkTil,N,2008,Lvl,AllPub,Artery,0,WD,TA,6,Grav,8,,,0,0,,1,572,79000
156,7200,mes,1Story,Hip,CBlock,Y,2006,Lvl,AllPub,Norm,0,WD,TA,5,GasA,0,Detchd,Unf,2,625,TA,1,1040,109500
157,12003,Timber,2Story,Gable,PConc,Y,2010,Lvl,AllPub,Norm,1,New,Ex,8,GasA,75,BuiltIn,Fin,3,680,TA,2,774,269500
158,12552,Somerst,2Story,Gable,PConc,Y,2010,Lvl,AllPub,Norm,1,WD,Gd,7,GasA,136,Attchd,RFn,2,678,TA,2,991,254900
159,19378,Gilbert,2Story,Gable,PConc,Y,2006,HLS,AllPub,Norm,1,New,Gd,7,GasA,132,Attchd,RFn,2,576,TA,2,1392,320000
160,11120,Veenker,1Story,Gable,PConc,Y,2008,Lvl,AllPub,Norm,0,WD,TA,6,GasA,0,Attchd,Unf,2,516,TA,2,1232,162500
161,13688,NridgHt,2Story,Gable,PConc,Y,2008,Lvl,AllPub,Norm,2,WD,Ex,9,GasA,0,BuiltIn,Fin,3,726,TA,2,1572,412500
162,12182,NridgHt,1Story,Gable,PConc,Y,2010,Lvl,AllPub,Norm,1,New,Gd,7,GasA,70,Attchd,RFn,2,532,TA,2,1541,220000
163,5500,OldTown,1.5Unf,Gable,CBlock,Y,2007,Lvl,AllPub,Norm,0,WD,TA,4,GasA,0,,,0,0,,1,882,103200
164,5400,OldTown,1Story,Gable,BrkTil,Y,2007,Lvl,AllPub,Norm,0,WD,Gd,6,GasA,0,Detchd,Unf,1,216,TA,2,1149,152000
